timestamp,open,high,low,close,volume
2017-01-01,963.16,998.0,956.63,996.22,4688.64130889
2017-01-02,996.53,1032.0,992.49,1012.99,8900.05619932
2017-01-03,1012.94,1029.92,990.01,1020.34,7931.53161812
2017-01-04,1020.34,1139.89,1016.19,1134.81,18316.77796126
2017-01-05,1133.35,1136.72,885.41,979.52,37341.12649691
2017-01-06,980.0,1026.99,871.0,890.78,28418.46692049
2017-01-07,890.73,906.0,812.28,892.01,22881.0215468
2017-01-08,892.0,941.81,879.98,903.33,10243.64490962
2017-01-09,903.71,914.3,875.0,888.63,7477.29886459
2017-01-10,887.48,912.47,883.98,903.08,8437.54133102
2017-01-11,903.08,918.4,755.0,773.45,31199.22604682
2017-01-12,772.15,825.99,751.34,806.97,20614.65970443
2017-01-13,806.97,832.99,775.0,825.39,13169.81900309
2017-01-14,826.39,837.76,817.0,831.86,6525.53384332
2017-01-15,831.85,831.86,808.03,814.06,5465.94931002
2017-01-16,814.09,835.0,808.0,829.19,5482.87017475
2017-01-17,828.0,908.5,827.0,904.0,11504.39693021
2017-01-18,904.01,915.99,851.74,868.0,12386.99390078
2017-01-19,870.98,906.98,864.01,904.26,10021.83511132
2017-01-20,904.29,910.0,880.0,895.07,8119.01628303
2017-01-21,895.07,928.0,894.87,920.33,5998.43448878
2017-01-22,920.33,937.74,886.76,913.36,7118.12198155
2017-01-23,913.36,927.57,910.38,920.26,3283.55061734
2017-01-24,919.53,923.19,892.04,909.07,7670.22554765
2017-01-25,909.18,909.18,881.48,894.64,7114.89860566
2017-01-26,894.36,919.49,892.51,910.03,4969.32176049
2017-01-27,910.0,924.88,908.01,919.0,4936.39264227
2017-01-28,919.01,920.99,913.08,916.32,1713.32208004
2017-01-29,916.64,919.99,912.3,912.54,1186.98463333
2017-01-30,912.54,921.99,910.0,919.35,2243.6631067099997
2017-01-31,918.31,962.97,917.5,955.79,9272.29356392
2017-02-01,956.67,977.52,950.0,975.84,7165.03507625
2017-02-02,975.3,1004.99,970.25,1000.96,7722.46783548
2017-02-03,1000.92,1022.64,987.01,1012.99,11668.61750349
2017-02-04,1012.99,1044.23,1004.0,1035.56,5448.6272976
2017-02-05,1035.56,1037.01,1004.7,1007.44,5305.32434609
2017-02-06,1005.96,1031.94,1005.0,1020.0,4877.65280806
2017-02-07,1020.0,1056.25,1018.95,1048.28,5134.51621194
2017-02-08,1048.35,1070.0,1025.0,1058.57,9561.68624223
2017-02-09,1058.06,1074.69,913.73,976.03,23156.29063978
2017-02-10,976.03,992.0,950.0,986.59,11142.78446652
2017-02-11,986.6,1020.0,984.07,1013.74,6448.91350353
2017-02-12,1013.74,1019.0,997.04,999.01,2456.9545792
2017-02-13,999.01,1007.89,975.1,1000.18,4567.11249014
2017-02-14,1000.18,1019.0,987.97,1008.19,6635.92119985
2017-02-15,1008.19,1012.54,1000.97,1009.34,3452.50638687
2017-02-16,1009.34,1043.21,1008.66,1039.84,5306.85613431
2017-02-17,1039.98,1064.99,1026.81,1055.12,6424.65066416
2017-02-18,1055.29,1068.99,1049.94,1060.44,4664.85779383
2017-02-19,1060.44,1063.62,1039.07,1045.2,2594.32639744
2017-02-20,1046.97,1064.67,1044.39,1060.12,2338.36519733
2017-02-21,1060.1,1119.0,1058.51,1114.39,8328.88128954
2017-02-22,1114.41,1142.2,1098.16,1134.15,10262.25103451
2017-02-23,1134.15,1168.0,1120.73,1161.0,11885.08813993
2017-02-24,1161.4,1220.0,1091.1,1189.01,20876.0292509
2017-02-25,1189.01,1189.99,1127.0,1152.98,7062.52944691
2017-02-26,1154.06,1184.97,1133.0,1174.8,4056.82905224
2017-02-27,1174.87,1197.99,1167.04,1193.04,4248.11334721
2017-02-28,1191.74,1209.99,1176.27,1195.39,7118.6094148
